these 12 derivations will be built:
  /nix/store/6p3189h6f6gybvx2nd6ni2k16m748yld-device-test-0.1.0.drv
  /nix/store/983b8vn279ai4nlr5zs49p5b02qi64bz-fs-test-0.1.0.drv
  /nix/store/9rps3krp9ci0vgkj57r6jzy5hhf0g2l9-hello_world-test-0.1.0.drv
  /nix/store/b3ywqh0i4dxa7044k3ascnv2mlchfs4r-ipc-test-0.1.0.drv
  /nix/store/kcjwgc9yxr9n2fqp7dgdl2bs9qrxaap0-memory-test-0.1.0.drv
  /nix/store/ljxgshamg00ia4rvmh2ai05w06g5p7js-process-test-0.1.0.drv
  /nix/store/zlr8sk6ifpkciiqk5mll6gkxygyjdzmv-security-test-0.1.0.drv
  /nix/store/zwb8mlrxv6mqs02x0ph30vrw5n7fqza0-network-test-0.1.0.drv
  /nix/store/4jyfazvgcajrq7crk3jkb1dplwv6q16m-regression-0.1.0.drv
  /nix/store/4x9ll9mhpxd0n3xq535nara1srxsh05h-resolv-conf.drv
  /nix/store/gl61q1150gnpfwpi8grib4asqkx8zn6k-runtime-deps.drv
  /nix/store/la77dhql91p9sczyhf7yb6ikxwxcl66r-initramfs.drv
these 2 paths will be fetched (95.2 KiB download, 1.1 MiB unpacked):
  /nix/store/yc9d4s9z52ky0rfgwjbwvg8y83ix83x5-libnl-3.11.0-bin
  /nix/store/9whp1z0jcw0bad01w4mdzhl2r4nmb3p2-libnl-3.11.0-dev
building '/nix/store/4x9ll9mhpxd0n3xq535nara1srxsh05h-resolv-conf.drv'...
copying path '/nix/store/yc9d4s9z52ky0rfgwjbwvg8y83ix83x5-libnl-3.11.0-bin' from 'https://cache.nixos.org'...
Warning: the host's /etc/resolv.conf is not valid for the guest VM (containing lookback addresses).
Fall back to Cloudflare's public DNS servers (1.1.1.1).
Consider using the DNS_SERVER Makefile variable to specify DNS server explicitly.
For example: make DNS_SERVER="192.168.1.1"
building '/nix/store/6p3189h6f6gybvx2nd6ni2k16m748yld-device-test-0.1.0.drv'...
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/devtmpfs_mode
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/evdev
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/framebuffer
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/full
copying path '/nix/store/9whp1z0jcw0bad01w4mdzhl2r4nmb3p2-libnl-3.11.0-dev' from 'https://cache.nixos.org'...
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/hwrng
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/random
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/pty/close_pty
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/pty/open_ptmx
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/pty/open_pty
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/pty/pty_blocking
CC <= /nix/store/fbq9jiy1w71wwf7ryj98pwrgl19a65i1-device-test-0.1.0/device/pty/pty_packet_mode
building '/nix/store/983b8vn279ai4nlr5zs49p5b02qi64bz-fs-test-0.1.0.drv'...
CC <= /nix/store/fn7mxddisyp8c9vb538ayy51nwv7q7xz-fs-test-0.1.0/fs/ext2/mknod
CC <= /nix/store/fn7mxddisyp8c9vb538ayy51nwv7q7xz-fs-test-0.1.0/fs/ext2/open_dir
CC <= /nix/store/fn7mxddisyp8c9vb538ayy51nwv7q7xz-fs-test-0.1.0/fs/ext2/rename
CC <= /nix/store/fn7mxddisyp8c9vb538ayy51nwv7q7xz-fs-test-0.1.0/fs/ext2/rmdir
